id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
348169,CN-0211,small_airport,"Gaomi Air Base",36.3875,119.71194,,AS,China,CN,"Shandong Province",CN-37,37,Weifang,0,,,,,,,50,2021-10-01T10:40:28+00:00
323883,ZLPC,small_airport,"Pucheng Neifu Airport",34.825791,109.535547,,AS,China,CN,"Shaanxi Province",CN-61,61,"Weinan (Pucheng)",0,ZLPC,,,,,"Test Flight Institute",50,2024-07-24T11:10:54+00:00
348171,CN-0214,small_airport,"Huangpi Air Base",30.90205,114.51008,,AS,China,CN,"Hubei Province",CN-42,42,"Wuhan (Huangpi)",0,,,,,,,50,2022-10-17T10:18:33+00:00
32649,ZSWU,small_airport,"Wuhu Wanli Airport / Wuhu Air Base",31.3906,118.408997,34,AS,China,CN,"Anhui Province",CN-34,34,Wuhu,0,ZSWU,WHU,,,https://en.wikipedia.org/wiki/Wuhu_Wanli_Airport,,50,2021-10-12T16:32:03+00:00
350952,CN-0256,small_airport,"Xi'an Aerospace Base General Airport",34.13324,108.9848,1824,AS,China,CN,"Shaanxi Province",CN-61,61,"Xi'an (Chang'an)",0,,,,,,,50,2022-08-29T14:30:18+00:00
44261,CN-0183,small_airport,"Zhangzhou Airfield",24.561621,117.654665,,AS,China,CN,"Fujian Province",CN-35,35,"Xiangcheng, Zhangzhou",0,,,,,,ZZHN,50,2021-03-12T23:35:51+00:00
354511,CN-0332,small_airport,"Industrial Airport 601",32.389746,112.140112,,AS,China,CN,"Henan Province",CN-41,41,"Xiangyang (Xiangzhou)",0,,,,,,,50,2022-08-29T14:52:04+00:00
324338,ZYFX,small_airport,"Fuxin Airport",42.069014,121.718122,548,AS,China,CN,"Liaoning Province",CN-21,21,"Xihe, Fuxin",0,ZYFX,,,,,,50,2021-01-21T14:22:53+00:00
308722,ZBXT,small_airport,"Xingtai Dalian Airport",36.8831,114.4293,280,AS,China,CN,"Hebei Province",CN-13,13,Xingtai,0,ZBXT,XNT,,,https://en.wikipedia.org/wiki/Xingtai_Dalian_Airport,邢台褡裢机场,50,2013-05-16T23:06:40+00:00
350856,CN-0231,small_airport,"Xinxiang Helicopter Air Base",35.29336,113.83837,236,AS,China,CN,"Henan Province",CN-41,41,Xinxiang,0,,,,,,,50,2021-12-20T17:40:06+00:00
350985,CN-0277,small_airport,"Xinyuan Gongnaisi Airport",43.298872,84.161324,5036,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Xinyuan,0,,,,,,,50,2021-12-23T11:21:15+00:00
44183,CN-0105,small_airport,"Xuzhou Yangmiao Agricultural Airport",34.56423,116.97377,121,AS,China,CN,"Jiangsu Province",CN-32,32,Xuzhou,0,,,,,,,50,2021-10-12T16:41:13+00:00
348165,CN-0200,small_airport,"Xuzhou Jiulishan Air Base",34.2879,117.1713,,AS,China,CN,"Jiangsu Province",CN-32,32,Xuzhou,0,,,,,,,50,2021-10-01T10:15:36+00:00
348172,CN-0215,small_airport,"Sheyang Airport",33.79276,120.16497,,AS,China,CN,"Jiangsu Province",CN-32,32,Yancheng,0,,,,,,,50,2021-10-01T11:01:39+00:00
350946,CN-0250,small_airport,"Yancheng Jianhu General Airport",33.42127,119.72231,5,AS,China,CN,"Jiangsu Province",CN-32,32,Yancheng,0,,,,,,,50,2021-12-22T17:02:41+00:00
